iter	Passed	Remaining
238	1447	4610
239	1451	4597
240	1455	4584
241	1462	4581
242	1470	4579
243	1476	4573
244	1481	4564
245	1486	4556
246	1492	4549
247	1499	4546
248	1507	4546
249	1513	4541
250	1518	4532
251	1525	4527
252	1532	4524
253	1539	4521
254	1545	4514
255	1550	4506
256	1556	4500
257	1563	4497
258	1570	4492
259	1577	4488
260	1581	4478
261	1586	4468
262	1593	4465
263	1599	4460
264	1606	4456
265	1611	4446
266	1615	4434
267	1620	4425
268	1627	4421
269	1633	4417
270	1639	4410
271	1644	4401
272	1648	4391
273	1655	4387
274	1662	4383
275	1669	4380
276	1674	4371
277	1679	4362
278	1685	4355
279	1692	4352
280	1700	4351
281	1706	4343
282	1710	4333
283	1716	4327
284	1723	4324
285	1730	4321
286	1736	4314
287	1741	4305
288	1747	4298
289	1754	4294
290	1762	4293
291	1767	4286
292	1772	4277
293	1778	4270
294	1788	4273
295	1795	4269
296	1801	4264
297	1806	4255
298	1812	4248
299	1819	4244
300	1825	4239
301	1832	4234
302	1836	4224
303	1843	4220
304	1850	4216
305	1857	4213
306	1864	4207
307	1869	4199
308	1874	4191
309	1880	4186
310	1887	4182
311	1894	4178
312	1900	4170
313	1905	4162
314	1912	4158
315	1919	4154
316	1926	4149
317	1931	4141
318	1936	4133
319	1943	4129
320	1950	4126
321	1957	4121
322	1961	4112
323	1966	4102
324	1973	4098
325	1981	4095
326	1988	4092
327	1993	4084
328	1998	4076
329	2005	4071
330	2011	4065
331	2019	4062
332	2024	4054
333	2028	4045
334	2036	4042
335	2044	4040
336	2051	4036
337	2056	4028
338	2061	4019
339	2068	4015
340	2075	4011
341	2082	4006
342	2087	3999
343	2092	3990
344	2098	3984
345	2105	3979
346	2112	3974
347	2117	3967
348	2121	3958
349	2127	3950
350	2135	3948
351	2143	3945
352	2149	3940
353	2155	3932
354	2160	3925
355	2168	3922
356	2175	3919
357	2182	3913
358	2186	3904
359	2193	3899
360	2201	3896
361	2208	3892
362	2213	3884
363	2218	3876
364	2225	3870
365	2232	3867
366	2240	3865
367	2245	3856
368	2250	3847
369	2256	3841
370	2263	3838
371	2270	3833
372	2277	3828
373	2281	3819
374	2287	3812
375	2295	3809
376	2304	3808
377	2309	3801
378	2313	3791
379	2320	3785
380	2327	3781
381	2335	3778
382	2341	3771
383	2345	3763
384	2351	3756
385	2359	3752
386	2367	3750
387	2372	3742
388	2378	3735
389	2385	3731
390	2391	3724
391	2397	3718
392	2403	3711
393	2407	3703
394	2412	3695
395	2420	3691
396	2427	3686
397	2433	3681
398	2438	3672
399	2443	3664
400	2452	3662
401	2458	3656
402	2466	3653
403	2470	3644
404	2475	3636
405	2482	3631
406	2489	3627
407	2497	3623
408	2502	3616
409	2508	3609
410	2516	3606
411	2524	3602
412	2531	3598
413	2536	3589
414	2541	3582
415	2549	3578
416	2556	3574
417	2562	3568
418	2567	3560
419	2574	3554
420	2580	3549
421	2588	3545
422	2593	3538
423	2598	3530
424	2603	3522
425	2611	3518
426	2619	3515
427	2625	3509
428	2630	3500
429	2635	3492
430	2642	3489
431	2648	3482
432	2657	3479
433	2662	3472
434	2667	3464
435	2674	3460
436	2683	3456
437	2689	3451
438	2694	3443
439	2701	3437
440	2708	3433
441	2716	3429
442	2722	3423
443	2727	3415
444	2734	3410
445	2741	3405
446	2749	3401
447	2755	3395
448	2760	3387
449	2767	3382
450	2774	3377
451	2782	3373
452	2787	3366
453	2792	3358
454	2800	3353
455	2807	3348
456	2815	3345
457	2820	3338
458	2825	3330
459	2832	3325
460	2840	3320
461	2847	3316
462	2852	3308
463	2857	3300
464	2865	3296
465	2872	3291
466	2878	3285
467	2884	3278
468	2888	3270
469	2895	3264
470	2902	3259
471	2910	3256
472	2914	3247
473	2920	3241
474	2928	3237
475	2935	3231
476	2943	3226
477	2948	3220
478	2953	3212
479	2961	3208
480	2968	3202
481	2975	3197
482	2979	3189
483	2985	3182
484	2993	3178
485	3001	3173
486	3007	3168
487	3012	3160
488	3017	3153
489	3026	3149
490	3034	3145
491	3041	3140
492	3046	3132
493	3053	3127
494	3060	3122
495	3069	3119
496	3074	3111
497	3078	3103
498	3085	3097
499	3092	3092
500	3100	3088
501	3106	3081
502	3110	3073
503	3119	3069
504	3125	3064
505	3133	3058
506	3137	3050
507	3143	3044
508	3150	3039
509	3160	3036
510	3167	3030
511	3172	3023
512	3178	3017
513	3185	3011
514	3193	3007
515	3199	3001
516	3204	2993
517	3209	2986
518	3217	2981
519	3225	2977
520	3231	2971
521	3236	2963
522	3241	2956
523	3250	2952
524	3257	2947
525	3263	2940
526	3268	2933
527	3274	2927
528	3282	2922
529	3288	2916
530	3294	2910
531	3301	2904
532	3308	2899
533	3316	2894
534	3325	2889
535	3330	2882
536	3335	2875
537	3342	2870
538	3351	2866
539	3359	2861
540	3363	2853
541	3369	2847
542	3376	2841
543	3384	2836
544	3391	2831
545	3396	2824
546	3403	2818
547	3411	2813
548	3419	2809
549	3424	2801
550	3429	2794
551	3436	2789
552	3444	2784
553	3452	2779
554	3457	2771
555	3462	2764
556	3469	2759
557	3478	2755
558	3486	2750
559	3491	2743
560	3497	2736
561	3504	2731
562	3512	2726
563	3518	2720
564	3524	2713
565	3531	2708
566	3539	2703
567	3548	2698
568	3553	2691
569	3557	2683
570	3565	2678
571	3572	2673
572	3580	2667
573	3585	2660
574	3590	2653
575	3596	2647
576	3603	2641
577	3610	2636
578	3615	2628
579	3619	2620
580	3625	2614
581	3632	2609
582	3639	2603
583	3645	2596
584	3650	2589
585	3655	2582
586	3663	2577
587	3671	2572
588	3678	2566
589	3682	2559
590	3689	2553
591	3697	2548
592	3704	2542
593	3709	2535
594	3714	2528
595	3719	2521
596	3726	2515
597	3736	2511
598	3742	2505
599	3747	2498
600	3753	2491
601	3760	2486
602	3768	2481
603	3773	2474
604	3779	2467
605	3785	2461
606	3793	2455
607	3801	2451
608	3808	2445
609	3814	2438
610	3821	2433
611	3830	2428
612	3837	2422
613	3843	2416
614	3850	2410
615	3857	2404
616	3866	2400
617	3871	2393
618	3877	2386
619	3886	2382
620	3894	2376
621	3901	2371
622	3907	2364
623	3913	2358
624	3921	2352
625	3928	2347
626	3934	2340
627	3938	2333
628	3945	2327
629	3952	2321
630	3960	2316
631	3966	2309
632	3972	2302
633	3979	2297
634	3987	2292
635	3995	2286
636	3999	2279
637	4004	2272
638	4013	2267
639	4022	2262
640	4027	2255
641	4032	2248
642	4039	2242
643	4046	2236
644	4054	2231
645	4060	2225
646	4065	2218
647	4071	2211
648	4078	2205
649	4086	2200
650	4091	2193
651	4097	2187
652	4104	2180
653	4111	2175
654	4118	2169
655	4124	2162
656	4128	2155
657	4133	2148
658	4140	2142
659	4145	2135
660	4153	2130
661	4158	2123
662	4163	2116
663	4168	2109
664	4174	2102
665	4179	2096
666	4186	2090
667	4191	2083
668	4197	2076
669	4204	2070
670	4211	2064
671	4217	2058
672	4222	2051
673	4227	2044
674	4234	2038
675	4241	2032
676	4248	2026
677	4252	2019
678	4257	2012
679	4263	2006
680	4269	2000
681	4276	1993
682	4283	1987
683	4287	1980
684	4295	1975
685	4301	1969
686	4310	1963
687	4315	1957
688	4320	1950
689	4327	1944
690	4334	1938
691	4341	1932
692	4347	1925
693	4352	1919
694	4358	1912
695	4364	1906
696	4372	1900
697	4378	1894
698	4383	1887
699	4388	1880
700	4397	1875
701	4405	1870
702	4411	1863
703	4416	1856
704	4421	1850
705	4428	1844
706	4434	1837
707	4441	1831
708	4444	1824
709	4450	1817
710	4457	1812
711	4464	1805
712	4471	1799
713	4476	1793
714	4480	1786
715	4487	1780
716	4496	1774
717	4505	1769
718	4510	1762
719	4515	1755
720	4522	1750
721	4531	1744
722	4538	1738
723	4544	1732
724	4549	1725
725	4558	1720
726	4565	1714
727	4571	1708
728	4577	1701
729	4582	1695
730	4589	1688
731	4596	1682
732	4603	1676
733	4608	1670
734	4613	1663
735	4620	1657
736	4626	1651
737	4633	1645
738	4639	1638
739	4646	1632
740	4652	1626
741	4661	1620
742	4666	1614
743	4671	1607
744	4679	1601
745	4688	1596
746	4696	1590
747	4701	1583
748	4705	1576
749	4714	1571
750	4722	1565
751	4729	1559
752	4734	1552
753	4739	1546
754	4747	1540
755	4756	1535
756	4762	1528
757	4766	1521
758	4774	1515
759	4781	1509
760	4788	1503
761	4794	1497
762	4799	1490
763	4805	1484
764	4812	1478
765	4820	1472
766	4826	1466
767	4832	1459
768	4839	1453
769	4846	1447
770	4855	1442
771	4860	1435
772	4866	1429
773	4874	1423
774	4881	1417
775	4889	1411
776	4895	1404
777	4901	1398
778	4908	1392
779	4917	1386
780	4922	1380
781	4926	1373
782	4934	1367
783	4941	1361
784	4948	1355
785	4953	1348
786	4958	1342
787	4965	1335
788	4972	1329
789	4978	1323
790	4984	1316
791	4988	1310
792	4993	1303
793	5001	1297
794	5009	1291
795	5015	1285
796	5020	1278
797	5025	1272
798	5034	1266
799	5041	1260
800	5048	1254
801	5052	1247
802	5058	1240
803	5065	1234
804	5071	1228
805	5079	1222
806	5084	1215
807	5090	1209
808	5098	1203
809	5105	1197
810	5111	1191
811	5116	1184
812	5121	1178
813	5129	1171
814	5136	1166
815	5142	1159
816	5147	1153
817	5153	1146
818	5160	1140
819	5167	1134
820	5174	1128
821	5178	1121
822	5184	1114
823	5190	1108
824	5198	1102
825	5206	1096
826	5211	1090
827	5216	1083
828	5224	1077
829	5233	1071
830	5239	1065
831	5244	1058
832	5249	1052
833	5256	1046
834	5264	1040
835	5272	1034
836	5277	1027
837	5285	1021
838	5292	1015
839	5299	1009
840	5305	1003
841	5310	996
842	5320	990
843	5327	984
844	5334	978
845	5339	971
846	5346	965
847	5354	959
848	5363	953
849	5370	947
850	5375	941
851	5382	935
852	5389	928
853	5396	922
854	5401	916
855	5407	909
856	5416	903
857	5422	897
858	5430	891
859	5435	884
860	5440	878
861	5449	872
862	5456	866
863	5462	859
864	5468	853
865	5474	847
866	5482	841
867	5489	834
868	5495	828
869	5500	821
870	5508	815
871	5515	809
872	5524	803
873	5528	797
874	5533	790
875	5541	784
876	5548	778
877	5554	771
878	5559	765
879	5564	758
880	5572	752
881	5578	746
882	5585	740
883	5591	733
884	5596	727
885	5603	721
886	5612	714
887	5622	709
888	5627	702
889	5633	696
890	5642	690
891	5652	684
892	5657	677
893	5663	671
894	5672	665
895	5681	659
896	5689	653
897	5695	646
898	5704	640
899	5713	634
900	5720	628
901	5726	622
902	5734	615
903	5742	609
904	5750	603
905	5755	597
906	5761	590
907	5769	584
908	5777	578
909	5783	571
910	5788	565
911	5794	559
912	5802	552
913	5809	546
914	5815	540
915	5821	533
916	5829	527
917	5836	521
918	5843	515
919	5848	508
920	5852	502
921	5862	495
922	5870	489
923	5878	483
924	5883	477
925	5890	470
926	5899	464
927	5909	458
928	5914	452
929	5919	445
930	5928	439
931	5936	433
932	5943	426
933	5948	420
934	5953	413
935	5960	407
936	5968	401
937	5974	394
938	5979	388
939	5986	382
940	5994	375
941	6002	369
942	6008	363
943	6012	356
944	6018	350
945	6025	343
946	6033	337
947	6038	331
948	6043	324
949	6049	318
950	6057	312
951	6065	305
952	6071	299
953	6076	292
954	6085	286
955	6092	280
956	6100	274
957	6104	267
958	6109	261
959	6117	254
960	6125	248
961	6133	242
962	6137	235
963	6142	229
964	6150	223
965	6157	216
966	6164	210
967	6170	203
968	6177	197
969	6184	191
970	6193	184
971	6198	178
972	6203	172
973	6210	165
974	6218	159
975	6225	153
976	6230	146
977	6235	140
978	6242	133
979	6250	127
980	6258	121
981	6264	114
982	6270	108
983	6276	102
984	6284	95
985	6290	89
986	6296	82
987	6300	76
988	6307	70
989	6314	63
990	6323	57
991	6327	51
992	6332	44
993	6337	38
994	6343	31
995	6350	25
996	6356	19
997	6362	12
998	6370	6
999	6378	0
